name,highway
137/77 Phan Anh,['residential']
156/35 Lê Văn Thọ,['residential']
179/7 Lê Đình Thám,['residential']
Alexandre de Rhodes,['residential']
An Bình,['tertiary']
An Dương Vương,"['primary', 'secondary']"
An Nhơn,['residential']
An Tôn,['residential']
An Điềm,['residential']
Ba Gia,['residential']
Ba Tháng Hai,['primary']
Ba Vân,['residential']
Ba Vì,['residential']
Ba Đình,['residential']
Bà Hom,['primary']
Bà Huyện Thanh Quan,"['secondary', 'tertiary']"
Bà Hạt,['tertiary']
Bà Lê Chân,['residential']
Bà Triệu,['residential']
Bàn Cờ,['residential']
Bành Văn Trân,['tertiary']
Bàu Bàng,['residential']
Bàu Cát,['tertiary']
Bàu Cát 1,['residential']
Bàu Cát 2,['residential']
Bàu Cát 3,['residential']
Bàu Cát 4,"['residential', 'tertiary']"
Bàu Cát 5,['residential']
Bàu Cát 6,['residential']
Bàu Cát 7,['residential']
Bác Ái,['residential']
Bình Giã,['residential']
Bình Long,['secondary']
Bình Lợi,['tertiary']
Bình Phú,['tertiary']
Bình Thới,['secondary']
Bình Tiên,"['secondary', 'tertiary']"
Bình Tây,['residential']
Bình Đông,"['residential', 'tertiary']"
Bông Sao,['tertiary']
Bùi Hữu Nghĩa,"['residential', 'tertiary']"
Bùi Minh Trực,['tertiary']
Bùi Quang Là,['residential']
Bùi Thế Mỹ,['residential']
Bùi Thị Xuân,"['residential', 'tertiary']"
Bùi Tư Toàn,['tertiary']
Bùi Viện,['residential']
Bùi Văn Thêm,['residential']
Bùi Xuân Phái,['residential']
Bùi Điền,['residential']
Bùi Đình Tuý,['tertiary']
Bùng Binh Chợ Thái Bình,['secondary']
Bùng Binh Pasteur - Võ Văn Kiệt,['primary']
Bùng Binh Trung Sơn - Dương Bá Trạc,['primary']
Bạch Mã,['residential']
Bạch Đằng,"['primary', 'primary_link', 'residential', 'tertiary']"
Bảy Hiền,['tertiary']
Bắc Hải,"['secondary', 'tertiary']"
Bế Văn Đàn,['residential']
Bến Ba Đình,['tertiary']
Bến Bình Đông,['tertiary']
Bến Chương Dương,['residential']
Bến Cát,['residential']
Bến Cần Giuộc,['residential']
Bến Phú Lâm,['tertiary']
Bến Vân Đồn,['secondary']
Bến Ụ Cây,"['residential', 'tertiary']"
Bửu Long,['residential']
Bửu Đình,['residential']
Ca Văn Thỉnh,['residential']
Calmette,['secondary']
Cao Bá Nhạ,['residential']
Cao Lỗ,['residential']
Cao Thắng,"['residential', 'secondary', 'tertiary']"
Cao Văn Lầu,"['residential', 'secondary']"
Cao Xuân Dục,['primary']
Cao Đạt,['residential']
Chiêu Anh Các,['residential']
Chiến Thắng,['residential']
Chu Mạnh Trinh,['residential']
Chu Văn An,"['residential', 'tertiary']"
Chung Cư Trần Quốc Thảo,['residential']
Chánh Hưng,['residential']
Chân Lý,['residential']
Châu Thị Hóa,['residential']
Châu Thới,['residential']
Châu Văn Liêm,['primary']
Châu Vĩnh Tế,['residential']
Chí Linh,['residential']
Chấn Hưng,['residential']
Chế Lan Viên,['residential']
Chợ Lớn,"['residential', 'tertiary']"
Chử Đồng Tử,['residential']
Cách Mạng,['residential']
Cách Mạng Tháng 8,['primary']
Cách Mạng Tháng Tám,['primary']
Cây Điệp,['residential']
Cô Bắc,['residential']
Cô Giang,['residential']
