name,highway
An Dương Vương,['primary']
Ba Tháng Hai,['primary']
Bà Hom,['primary']
Bùng Binh Pasteur - Võ Văn Kiệt,['primary']
Bùng Binh Trung Sơn - Dương Bá Trạc,['primary']
Bạch Đằng,"['primary', 'primary_link']"
Cao Xuân Dục,['primary']
Châu Văn Liêm,['primary']
Cách Mạng Tháng 8,['primary']
Cách Mạng Tháng Tám,['primary']
Công Trường Dân Chủ,['primary']
Công trường Mê Linh,['primary']
Công trường Quách Thị Trang,"['primary', 'primary_link']"
Cầu Bình Lợi,"['primary', 'primary_link']"
Cầu Chà Và,['primary']
Cầu Nguyễn Văn Cừ,"['primary', 'primary_link']"
Cầu vượt Cây Gõ,"['primary', 'primary_link']"
Cầu vượt Hoàng Hoa Thám,['primary']
Cầu vượt Nguyễn Thái Sơn,['primary']
Cầu vượt Quang Trung 1,['primary']
Cầu vượt Quang Trung 2,['primary']
Cầu Ông Lãnh,['primary']
Cộng Hoà,['primary']
Cộng Hòa,['primary']
Dương Bá Trạc,['primary']
Hai Bà Trưng,['primary']
Hoàng Diệu,['primary']
Hoàng Văn Thụ,['primary']
Hàm Nghi,['primary']
Hùng Vương,['primary']
Hẻm 12 Nguyễn Thị Minh Khai,['primary_link']
Hẻm 194 Đường Bạch Đằng,['primary_link']
Hẻm 319A Lý Thường Kiệt,['primary_link']
Hẻm 373 Lý Thường Kiệt,['primary_link']
Hẻm 911 Quang Trung,['primary_link']
Hồ Văn Huê,['primary']
Hồ Xuân Hương,['primary_link']
Hồng Bàng,['primary']
Hồng Hà,['primary']
Khánh Hội,['primary']
Lê Duẩn,['primary']
Lê Lai,['primary']
Lê Văn Duyệt,['primary']
Lê Văn Thọ,['primary']
Lý Thái Tổ,['primary']
Lý Thường Kiệt,['primary']
Minh Phụng,['primary']
Nam Kỳ Khởi Nghĩa,"['primary', 'primary_link']"
Nguyễn Bỉnh Khiêm,"['primary', 'primary_link']"
Nguyễn Hữu Cảnh,['primary']
Nguyễn Hữu Thọ,['primary']
Nguyễn Kiệm,['primary']
Nguyễn Oanh,['primary']
Nguyễn Thái Học,['primary']
Nguyễn Thái Sơn,['primary']
Nguyễn Thị Diệu,['primary_link']
Nguyễn Thị Minh Khai,"['primary', 'primary_link']"
Nguyễn Thị Nghĩa,['primary']
Nguyễn Tri Phương,"['primary', 'primary_link']"
Nguyễn Tất Thành,['primary']
Nguyễn Văn Cừ,['primary']
Nguyễn Văn Lạc,['primary_link']
Ngã Bảy Lý Thái Tổ,['primary']
Ngã Sáu Nguyễn Tri Phương,['primary']
Ngã tư Hàng Xanh,['primary']
Ngô Gia Tự,['primary']
Phan Huy ích,['primary_link']
Phan Thúc Duyện,['primary']
